filename,filesize_kb,gbl_fileSize_s,sequoia,public_link
AguaFriaRiver_EnvironmentalObservations_2008.zip,6.62,0.01 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/AguaFriaRiver_EnvironmentalObservations_2008.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/Arizona_NEMO/River_Monitoring/Agua_Fria_River/Environmental_Observations/2008/AguaFriaRiver_EnvironmentalObservations_2008.zip
AguaFriaRiver_EnvironmentalObservations_2009.zip,6.3,0.01 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/AguaFriaRiver_EnvironmentalObservations_2009.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/Arizona_NEMO/River_Monitoring/Agua_Fria_River/Environmental_Observations/2009/AguaFriaRiver_EnvironmentalObservations_2009.zip
AguaFriaRiver_EnvironmentalObservations_2010.zip,7.92,0.01 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/AguaFriaRiver_EnvironmentalObservations_2010.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/Arizona_NEMO/River_Monitoring/Agua_Fria_River/Environmental_Observations/2010/AguaFriaRiver_EnvironmentalObservations_2010.zip
AguaFriaRiver_EnvironmentalObservations_2011.zip,10.14,0.01 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/AguaFriaRiver_EnvironmentalObservations_2011.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/Arizona_NEMO/River_Monitoring/Agua_Fria_River/Environmental_Observations/2011/AguaFriaRiver_EnvironmentalObservations_2011.zip
AguaFriaRiver_WetDryPoints_2010.zip,13.75,0.01 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/AguaFriaRiver_WetDryPoints_2010.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/Arizona_NEMO/River_Monitoring/Agua_Fria_River/Wet_Dry_Points/2010/AguaFriaRiver_WetDryPoints_2010.zip
AguaFriaRiver_WetDryPoints_2011.zip,19.17,0.02 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/AguaFriaRiver_WetDryPoints_2011.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/Arizona_NEMO/River_Monitoring/Agua_Fria_River/Wet_Dry_Points/2011/AguaFriaRiver_WetDryPoints_2011.zip
AguaFriaRiver_WetDrySegments_2008.zip,29.39,0.03 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/AguaFriaRiver_WetDrySegments_2008.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/Arizona_NEMO/River_Monitoring/Agua_Fria_River/Wet_Dry_Segments/2008/AguaFriaRiver_WetDrySegments_2008.zip
AguaFriaRiver_WetDrySegments_2009.zip,24.79,0.02 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/AguaFriaRiver_WetDrySegments_2009.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/Arizona_NEMO/River_Monitoring/Agua_Fria_River/Wet_Dry_Segments/2009/AguaFriaRiver_WetDrySegments_2009.zip
AguaFriaRiver_WetDrySegments_2010.zip,39.75,0.04 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/AguaFriaRiver_WetDrySegments_2010.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/Arizona_NEMO/River_Monitoring/Agua_Fria_River/Wet_Dry_Segments/2010/AguaFriaRiver_WetDrySegments_2010.zip
AguaFriaRiver_WetDrySegments_2011.zip,50.68,0.05 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/AguaFriaRiver_WetDrySegments_2011.zip,https://data.cyverse.org/dav-anon/iplant/commons/community_released//ual/public/Arizona_NEMO/River_Monitoring/Agua_Fria_River/Wet_Dry_Segments/2011/AguaFriaRiver_WetDrySegments_2011.zip
Arizona_100kScaleTopoDecollared_1970to1995.tif,764554.88,746.64 MB,http://sequoia.library.arizona.edu/geospatial/public/single_layer_datasets/Arizona_100kScaleTopoDecollared_1970to1995.tif,https://ual-geodata-files.s3.us-west-2.amazonaws.com/USGS/Arizona_100kScaleTopoDecollared_1970to1995.tif
